title,directed_by,produced_by,screenplay_by,based_on,starring,music_by,cinematography,edited_by,productioncompany,distributed_by,release_date,running_time,country,language,budget,box_office,story_by,productioncompanies,written_by,narrated_by
Avengers: Endgame,Anthony RussoJoe Russo,Kevin Feige,Christopher MarkusStephen McFeely,The Avengersby Stan LeeJack Kirby,Robert Downey Jr. Chris Evans Mark Ruffalo Chris Hemsworth Scarlett Johansson Jeremy Renner Don Cheadle Paul Rudd Brie Larson Karen Gillan Danai Gurira Benedict Wong Jon Favreau Bradley Cooper Gwyneth Paltrow Josh Brolin,Alan Silvestri,Trent Opaloch,Jeffrey Ford Matthew Schmidt,Marvel Studios,Walt Disney StudiosMotion Pictures,2019-04-26,181,USA,English,356000000.0,2798000000.0,,,,
The Lion King,Jon Favreau,Jon Favreau Jeffrey Silver Karen Gilchrist,Jeff Nathanson,Disney's The Lion Kingby Irene MecchiJonathan RobertsLinda Woolverton,Donald Glover Seth Rogen Chiwetel Ejiofor Alfre Woodard Billy Eichner John Kani John Oliver Beyoncé Knowles-Carter James Earl Jones,Hans Zimmer,Caleb Deschanel,Mark Livolsi Adam Gerstel,Walt Disney Pictures Fairview Entertainment,Walt Disney StudiosMotion Pictures,2019-07-19,118,USA,English,260000000.0,1657000000.0,,,,
Star Wars: The Rise of Skywalker,J. J. Abrams,Kathleen Kennedy J. J. Abrams Michelle Rejwan,Chris Terrio J. J. Abrams,Charactersby George Lucas,Carrie Fisher Mark Hamill Adam Driver Daisy Ridley John Boyega Oscar Isaac Anthony Daniels Naomi Ackie Domhnall Gleeson Richard E. Grant Lupita Nyong'o Keri Russell Joonas Suotamo Kelly Marie Tran Ian McDiarmid Billy Dee Williams,John Williams,Dan Mindel,Maryann Brandon Stefan Grube,Lucasfilm Ltd. Bad Robot Productions,Walt Disney StudiosMotion Pictures,2019-12-20,142,USA,English,275000000.0,1074000000.0,Derek Connolly Colin Trevorrow J. J. Abrams Chris Terrio,,,
Frozen II,Chris Buck Jennifer Lee,Peter Del Vecho,Jennifer Lee,,Kristen Bell Idina Menzel Josh Gad Jonathan Groff,Christophe Beck (score) Robert Lopez (songs) Kristen Anderson-Lopez (songs),Tracy Scott Beattie (layout) Mohit Kallianpur (lighting),Jeff Draheim,Walt Disney Pictures Walt Disney Animation Studios,Walt Disney StudiosMotion Pictures,2019-11-22,103,USA,English,150000000.0,1450000000.0,Chris Buck Jennifer Lee Marc E. Smith Kristen Anderson-Lopez Robert Lopez,,,
Toy Story 4,Josh Cooley,Mark Nielsen Jonas Rivera,Andrew Stanton Stephany Folsom,,Tom Hanks Tim Allen Annie Potts Tony Hale Keegan-Michael Key Jordan Peele Madeleine McGraw Christina Hendricks Keanu Reeves Ally Maki Jay Hernandez Lori Alan Joan Cusack,Randy Newman,Patrick Lin Jean-Claude Kalache,Axel Geddes,,Walt Disney StudiosMotion Pictures,2019-06-21,100,USA,English,200000000.0,1073000000.0,John Lasseter Andrew Stanton Josh Cooley Valerie LaPointe Rashida Jones Will McCormack Martin Hynes Stephany Folsom,Walt Disney Pictures Pixar Animation Studios,,
Captain Marvel,Anna BodenRyan Fleck,Kevin Feige,Anna Boden Ryan Fleck Geneva Robertson-Dworet,Captain Marvelby Stan Lee Gene Colan Carol Danversby Roy Thomas Gene Colan,Brie Larson Samuel L. Jackson Ben Mendelsohn Djimon Hounsou Lee Pace Lashana Lynch Gemma Chan Annette Bening Clark Gregg Jude Law,Pinar Toprak,Ben Davis,Elliot Graham Debbie Berman,Marvel Studios,Walt Disney StudiosMotion Pictures,2019-03-08,124,USA,English,175000000.0,1128000000.0,Nicole Perlman Meg LeFauve Anna Boden Ryan Fleck Geneva Robertson-Dworet,,,
Spider-Man: Far From Home,Jon Watts,Kevin Feige Amy Pascal,,Spider-Manby Stan LeeSteve Ditko,Tom Holland Samuel L. Jackson Zendaya Cobie Smulders Jon Favreau J. B. Smoove Jacob Batalon Martin Starr Marisa Tomei Jake Gyllenhaal,Michael Giacchino,Matthew J. Lloyd,Dan Lebental Leigh Folsom Boyd,,Sony Pictures Releasing,2019-07-02,129,USA,English,160000000.0,1132000000.0,,Columbia Pictures Marvel Studios Pascal Pictures,Chris McKenna Erik Sommers,
Aladdin,Guy Ritchie,Dan Lin Jonathan Eirich,John August Guy Ritchie,Disney's Aladdinby Ron ClementsJohn MuskerTed ElliottTerry Rossio Aladdin and the Magic Lamp from One Thousand and One Nights,Will Smith Mena Massoud Naomi Scott Marwan Kenzari Navid Negahban Nasim Pedrad Billy Magnussen,Songs: Alan Menken Howard Ashman Tim Rice Pasek & Paul Score: Alan Menken,Alan Stewart,James Herbert,Walt Disney Pictures Rideback Marc Platt Productions,Walt Disney StudiosMotion Pictures,2019-05-24,128,USA,English,183000000.0,1050999999.9999999,,,,
Joker,Todd Phillips,Todd Phillips Bradley Cooper Emma Tillinger Koskoff,,Charactersby DC Comics,Joaquin Phoenix Robert De Niro Zazie Beetz Frances Conroy,Hildur Guðnadóttir,Lawrence Sher,Jeff Groth,,Warner Bros. Pictures,2019-10-04,122,USA,English,70000000.0,1074000000.0,,Warner Bros. Pictures DC Films Joint Effort Bron Creative Village Roadshow Pictures,Todd Phillips Scott Silver,
John Wick: Chapter 3 – Parabellum,Chad Stahelski,Basil Iwanyk Erica Lee,Derek Kolstad Shay Hatten Chris Collins Marc Abrams,Charactersby Derek Kolstad,Keanu Reeves Halle Berry Laurence Fishburne Mark Dacascos Asia Kate Dillon Lance Reddick Anjelica Huston Ian McShane,Tyler Bates Joel J. Richard,Dan Laustsen,Evan Schiff,Summit Entertainment Thunder Road Pictures 87Eleven Productions,Lionsgate,2019-05-17,131,USA,English,75000000.0,326700000.0,Derek Kolstad,,,
Escape Room,Adam Robitel,Neal H. Moritz Ori Marmur,Bragi F. Schut Maria Melnik,,Taylor Russell Logan Miller Deborah Ann Woll Jay Ellis Tyler Labine Nik Dodani Yorick van Wageningen,Brian TylerJohn Carey,Marc Spicer,Steven Mirkovich,Columbia PicturesOriginal Film,Sony Pictures Releasing,2019-01-04,100,USA,English,9000000.0,155700000.0,Bragi Schut,,,
A Dog's Way Home,Charles Martin Smith,Gavin Polone,W. Bruce CameronCathryn Michon,A Dog's Way Homeby W. Bruce Cameron,Ashley Judd Jonah Hauer-King Edward James Olmos Alexandra Shipp Wes Studi Bryce Dallas Howard,Mychael Danna,Peter Menzies Jr.,Debra Neil-FisherDavid S. ClarkSabrina Plisco,,Sony Pictures Releasing,2019-01-11,96,USA,English,18000000.0,80700000.0,,Columbia PicturesBona Film GroupPariah,,
The Upside,Neil Burger,Todd Black Jason Blumenthal Steve Tisch,Jon Hartmere,The Intouchablesby Olivier NakacheEric Toledano,Kevin Hart Bryan Cranston Nicole Kidman Golshifteh Farahani,Rob Simonsen,Stuart Dryburgh,Naomi Geraghty,Escape Artists,STXfilmsLantern Entertainment,2019-01-11,126,USA,English,37500000.0,125900000.0,,,,
Replicas,Jeffrey Nachmanoff,Lorenzo di Bonaventura Mark Gao Stephen Hamel Keanu Reeves Luis A. Riefkohl,Chad St. John,,Keanu Reeves Alice Eve Thomas Middleditch John Ortiz,Mark Kilian Jose Ojeda,Checco Varese,Pedro Javier Muñiz,Di Bonaventura Pictures Riverstone Pictures Company Films Ingenious Media Remstar Studios Fundamental Films Lotus Entertainment 74850 and Global Pictures Media LLC Ocean Park Entertainment,Entertainment Studios Motion Pictures,2019-01-11,107,USA,English,30000000.0,9300000.0,Stephen Hamel,,,
Glass,M. Night Shyamalan,M. Night Shyamalan Jason Blum Marc Bienstock Ashwin Rajan,,,James McAvoy Bruce Willis Anya Taylor-Joy Sarah Paulson Samuel L. Jackson,West Dylan Thordson,Mike Gioulakis,Luke CiarrocchiBlu Murray,,Universal Pictures (United States and Canada) Buena Vista International (international),2019-01-18,129,USA,English,20000000.0,247000000.0,,Blinding Edge Pictures Blumhouse Productions,M. Night Shyamalan,
The Kid Who Would Be King,Joe Cornish,Tim Bevan Eric Fellner Nira Park,,,Louis Ashbourne Serkis Tom Taylor Rebecca Ferguson Patrick Stewart,Electric Wave Bureau,Bill Pope,Jonathan Amos Paul Machliss,20th Century Fox Working Title Films Big Talk Pictures TSG Entertainment,20th Century Fox,2019-02-15,120,"UK, States",English,59000000.0,32100000.0,,,Joe Cornish,
Serenity,Steven Knight,Greg ShapiroGuy HeeleySteven Knight,,,Matthew McConaughey Anne Hathaway Diane Lane Jason Clarke Djimon Hounsou,Benjamin Wallfisch,Jess Hall,Laura Jennings,Global Road Entertainment Starlings Entertainment Nebulastar Shoebox Films,Aviron Pictures,2019-01-25,106,USA,English,25000000.0,14400000.0,,,Steven Knight,
Miss Bala,Catherine Hardwicke,Pablo Cruz Kevin Misher,,Miss Balaby Gerardo NaranjoMauricio Katz,Gina Rodriguez Ismael Cruz Córdova Anthony Mackie,Alex Heffes,Patrick Murguia,Terilyn A. Shropshire,,Sony Pictures Releasing,2019-02-01,104,"USA, Mexico",English Spanish,15000000.0,15400000.0,,Columbia Pictures Canana Films Misher Films,Gareth Dunnett-Alcocer,
The Lego Movie 2: The Second Part,Mike Mitchell,Dan Lin Phil LordChristopher Miller Roy Lee Jinko Gotoh,Phil Lord Christopher Miller,Lego Construction Toys,Chris Pratt Elizabeth Banks Will Arnett Tiffany Haddish Stephanie Beatriz Charlie Day Alison Brie Nick Offerman Maya Rudolph Will Ferrell,Mark Mothersbaugh,Shelly Johnson (live-action sequences),Clare Knight,,Warner Bros. Pictures,2019-02-08,107,"USA, Denmark, Australia",English,99000000.0,192300000.0,Phil Lord Christopher Miller Matthew Fogel,Warner Animation Group Rideback Vertigo Entertainment Animal Logic,,
What Men Want,Adam Shankman,James Lopez Will Packer,Tina GordonAlex GregoryPeter Huyck,What Women Wantby Josh GoldsmithCathy YuspaDiane Drake,Taraji P. Henson Aldis Hodge Josh Brener Erykah Badu Richard Roundtree Tracy Morgan,Brian Tyler,Jim Denault,Emma E. Hickox,Will Packer ProductionsBET FilmsParamount Players,Paramount Pictures,2019-02-08,117,USA,English,20000000.0,72200000.0,Tina GordonJas Waters,,,
Cold Pursuit,Hans Petter Moland,Finn Gjerdrum Stein B. Kvae Michael Shamberg Ameet Shukla,,In Order of Disappearanceby Kim Fupz Aakeson,Liam Neeson Tom Bateman Tom Jackson Emmy Rossum Domenick Lombardozzi Julia Jones John Doman Laura Dern,George Fenton,Philip Øgaard,Nicolaj Monberg,,Summit Entertainment,2019-02-08,118,"States, UK",English,60000000.0,76300000.0,,StudioCanal Summit Entertainment,Frank Baldwin,
The Prodigy,Nicholas McCarthy,Tripp Vinson,,,Taylor Schilling Jackson Robert Scott Colm Feore,Joseph Bishara,Bridger Nielson,Tom ElkinsBrian Ufberg,Orion Pictures Vinson Films XYZ Films,Orion Pictures,2019-02-08,92,"USA, Hong, Kong, Canada",English,6000000.0,21100000.0,,,Jeff Buhler,
Isn't It Romantic,Todd Strauss-Schulson,Todd Garner Grant Scharbo Gina Matthews,Erin Cardillo Dana Fox Katie Silberman,,Rebel Wilson Liam Hemsworth Adam DeVine Priyanka Chopra,John Debney,Simon Duggan,Andrew Marcus,New Line CinemaBron CreativeCamp SugarLittle EngineBroken Road Productions,"Warner Bros. Pictures (United States, Canada and Argentina) Netflix (international)",2019-02-13,89,USA,English,31000000.0,48800000.0,Erin Cardillo,,,
Happy Death Day 2U,Christopher Landon,Jason Blum,,Charactersby Scott Lobdell,Jessica Rothe Israel Broussard Suraj Sharma Steve Zissis,Bear McCreary,Toby Oliver,Ben Baudhuin,Blumhouse Productions,Universal Pictures,2019-02-13,100,USA,English,9000000.0,64599999.99999999,,,Christopher Landon,
Alita: Battle Angel,Robert Rodriguez,James Cameron Jon Landau,James CameronLaeta Kalogridis,Gunnmby Yukito Kishiro,Rosa Salazar Christoph Waltz Jennifer Connelly Mahershala Ali Ed Skrein Jackie Earle Haley Keean Johnson,Tom Holkenborg,Bill Pope,Stephen E. Rivkin Ian Silverstein,20th Century Fox Lightstorm Entertainment Troublemaker Studios TSG Entertainment,20th Century Fox,2019-02-14,122,USA,English,200000000.0,405000000.0,,,,
How to Train Your Dragon:The Hidden World,Dean DeBlois,Bonnie Arnold Brad Lewis,,How to Train Your Dragonby Cressida Cowell,Jay Baruchel America Ferrera Cate Blanchett Craig Ferguson F. Murray Abraham,John Powell,,John K. Carr,DreamWorks Animation Dentsu Fuji Television,Universal Pictures,2019-02-22,104,"USA, Japan",English,129000000.0,521799999.99999994,,,Dean DeBlois,
Fighting with My Family,Stephen Merchant,Kevin Misher Dwayne Johnson Dany Garcia Stephen Merchant Michael J. Luisi,,The Wrestlers: Fighting with My Family by Max Fisher,Florence Pugh Lena Headey Nick Frost Jack Lowden Vince Vaughn Dwayne Johnson,Vik Sharma Graham Coxon,Remi Adefarasin,Nancy Richardson,Metro-Goldwyn-MayerFilm4The Ink FactorySeven Bucks ProductionsMisher FilmsWWE Studios,Lionsgate UK (UK)Mirror Releasing (US)Universal Pictures (International),2019-02-27,108,"UK, States",English,11000000.0,41500000.0,,,Stephen Merchant,
A Madea Family Funeral,Tyler Perry,Ozzie Areu Will Areuy Mark E. Swinton,,,Cassi Davis Patrice Lovely Tyler Perry,Philip White,Richard Vialet,Larry Sexton,Tyler Perry Studios,Lionsgate,,109,USA,English,20000000.0,74800000.0,,,Tyler Perry,
Captain Marvel,Anna BodenRyan Fleck,Kevin Feige,Anna Boden Ryan Fleck Geneva Robertson-Dworet,Captain Marvelby Stan Lee Gene Colan Carol Danversby Roy Thomas Gene Colan,Brie Larson Samuel L. Jackson Ben Mendelsohn Djimon Hounsou Lee Pace Lashana Lynch Gemma Chan Annette Bening Clark Gregg Jude Law,Pinar Toprak,Ben Davis,Elliot Graham Debbie Berman,Marvel Studios,Walt Disney StudiosMotion Pictures,2019-03-08,124,USA,English,175000000.0,1128000000.0,Nicole Perlman Meg LeFauve Anna Boden Ryan Fleck Geneva Robertson-Dworet,,,
The Kid,Vincent D'Onofrio,Jordan Schur Nick Thurlow Sam Maydew David Mimran,Andrew Lanham,,Ethan Hawke Dane DeHaan Jake Schur Leila George Chris Pratt,Latham Gaines Shelby Gaines,Matthew J. Lloyd,Katharine McQuerrey,Suretone Pictures,Lionsgate Films,2019-03-08,96,USA,English,7000000.0,1600000.0,Vincent D'Onofrio Andrew Lanham,,,
Wonder Park,Dylan Brown,Josh Appelbaum André Nemec Kendra Halland,Josh Appelbaum André Nemec,,Jennifer Garner Matthew Broderick John Oliver Mila Kunis Kenan Thompson Ken Jeong Norbert Leo Butz Brianna Denski Ken Hudson Campbell,Steven Price,Juan García González,Edie Ichioka,,Paramount Pictures,2019-04-12,85,"USA, Spain",English,100000000.0,119600000.0,Robert Gordon Josh Appelbaum André Nemec,Paramount Animation Nickelodeon Movies Ilion Animation Studios,,
Captive State,Rupert Wyatt,David Crockett Rupert Wyatt,,,John Goodman Ashton Sanders Jonathan Majors Colson Baker Vera Farmiga,Rob Simonsen,Alex Disenhof,Andrew Groves,Participant,Focus Features,2019-03-15,109,USA,English,25000000.0,8800000.0,,,Erica Beeney Rupert Wyatt,
Nancy Drew and the Hidden Staircase,Katt Shea,Ellen DeGeneres Jeff Kleeman Chip Diggins,,Nancy Drewby Edward Stratemeyer The Hidden Staircaseby Carolyn Keene (Mildred Wirt Benson),Sophia Lillis Sam Trammell Linda Lavin,Sherri Chung,Edd Lukas,Richard Nord,A Very Good Production Red 56,Warner Bros. Pictures,2019-03-15,89,USA,English,17000000.0,946027.0,,,Nina Fiore John Herrera,
Five Feet Apart,Justin Baldoni,Cathy Schulman Justin Baldoni,,,Haley Lu Richardson Cole Sprouse Moisés Arias,Brian TylerBreton Vivian,Frank G. DeMarco,Angela M. Catanzaro,CBS Films Welle Entertainment Wayfarer Entertainment,CBS Films (via Lionsgate),2019-03-15,116,USA,English,7000000.0,91500000.0,,,Mikki Daughtry Tobias Iaconis,
Us,Jordan Peele,Jason Blum Ian Cooper Sean McKittrick Jordan Peele,,,Lupita Nyong'o Winston Duke Elisabeth Moss Tim Heidecker,Michael Abels,Mike Gioulakis,Nicholas Monsour,,Universal Pictures,2019-03-22,116,USA,English,20000000.0,255200000.0,,Monkeypaw ProductionsPerfect World Pictures,Jordan Peele,
Hotel Mumbai,Anthony Maras,Basil Iwanyk Gary Hamilton Andrew Ogilvie Jomon Thomas Mike Gabrawy Julie Ryan Brian Hayes,John Collee Anthony Maras,2008 Mumbai Attacks,Dev Patel Armie Hammer Nazanin Boniadi Tilda Cobham-Hervey Anupam Kher Jason Isaacs Suhail Nayyar,Volker Bertelmann,Nick Remy Matthews,Peter McNulty Anthony Maras,Thunder Road Pictures Arclight Films Electric Pictures Xeitgeist Entertainment Group ShivHans Pictures,Bleecker Street (United States) Icon Film Distribution (Australia) Zee Studios Purpose Entertainment (India),2019-11-29,125,"Australia, India, USA",EnglishHindi,17300000.0,21100000.0,,,,
Dragged Across Concrete,S. Craig Zahler,Sefton Fincham Jack Heller Tyler Jackson Keith Kjarval Dallas Sonnier,,,Mel Gibson Vince Vaughn Tory Kittles Michael Jai White Jennifer Carpenter Laurie Holden Fred Melamed Udo Kier Thomas Kretschmann Don Johnson,Jeff HerriottS. Craig Zahler,Benji Bakshi,Greg D'Auria,Unified Pictures Assemble Media Cinestate Look to the Sky Films Moot Point Productions,Summit Entertainment,2019-03-22,159,USA,English,15000000.0,660132.0,,,S. Craig Zahler,
Dumbo,Tim Burton,Justin Springer Ehren Kruger Katterli Frauenfelder Derek Frey,Ehren Kruger,"Disney's Dumboby Otto EnglanderJoe GrantDick Huemer Dumbo, the Flying Elephantby Helen AbersonHarold Pearl",Colin Farrell Michael Keaton Danny DeVito Eva Green Alan Arkin,Danny Elfman,Ben Davis,Chris Lebenzon,Walt Disney Pictures Tim Burton Productions Infinite Detective Productions Secret Machine Entertainment,Walt Disney Studios Motion Pictures,2019-03-29,112,USA,English,170000000.0,353300000.0,,,,
Unplanned,Cary Solomon Chuck Konzelman,Chris Jones Joe Knopp Daryl Lefever Cary Solomon Chuck Konzelman,Cary Solomon Chuck Konzelman,,Ashley Bratcher Brooks Ryan Robia Scott,Stephen Blake Kanicka,Drew Maw,Parker Adams Dana Wilson,Soli Deo Gloria,Pure Flix,2019-03-29,106,USA,English,6000000.0,21100000.0,,,,
Shazam!,David F. Sandberg,Peter Safran,Henry Gayden,Captain Marvelby Bill ParkerC. C. Beck,Zachary Levi Mark Strong Asher Angel Jack Dylan Grazer Djimon Hounsou,Benjamin Wallfisch,Maxime Alexandre,Michel Aller,New Line Cinema DC Films The Safran Company Seven Bucks Productions Mad Ghost Productions,Warner Bros. Pictures,2019-04-05,132,USA,English,100000000.0,366000000.0,Henry Gayden Darren Lemke,,,
Pet Sematary,Kevin Kölsch Dennis Widmyer,Lorenzo di Bonaventura Mark Vahradian Steven Schneider,Jeff Buhler,Pet Semataryby Stephen King,Jason Clarke Amy Seimetz John Lithgow,Christopher Young,Laurie Rose,Sarah Broshar,"Di Bonaventura Pictures Room 101, Inc.",Paramount Pictures,2019-04-05,101,USA,English,21000000.0,113100000.0,Matt Greenberg,,,
The Best of Enemies,Robin Bissell,Danny Strong Fred Bernstein Matt Berenson Robin Bissell Dominique Telson Tobey Maguire Matthew Plouffe,,The Best of Enemies: Race and Redemption in the New Southby Osha Gray Davidson,Taraji P. Henson Sam Rockwell,Marcelo Zarvos,David Lanzenberg,Harry Yoon,Astute Films Material Pictures,STX Films,2019-04-05,133,USA,English,10000000.0,10200000.0,,,Robin Bissell,
High Life,Claire Denis,Andrew Lauren D.J. Gugenheim Claudia Steffen Christoph Friedel Laurence Clerc Olivier Théry-Lapiney Oliver Dungey Klaudia Smieja,,,Robert Pattinson Juliette Binoche André Benjamin Mia Goth Agata Buzek Lars Eidinger Claire Tran Ewan Mitchell Gloria Obianyo Victor Banerjee Scarlette Lindsey Jessie Ross,Stuart A. Staples,Yorick Le Saux,Guy Lecorne,,Wild Bunch (France) Pandora Filmproduktion (Germany) Thunderbird Releasing (United Kingdom) Against Gravity (Poland) A24 (United States),,110,"France, Germany, Poland, UK, States",English,8000000.0,1900000.0,,Andrew Lauren Productions Pandora Filmproduktion Alcatraz Films The Apocalypse Films Company Madants BFI Arte ZDF Canal+ Ciné+,Claire Denis Jean-Pol Fargeau,
Hellboy,Neil Marshall,Lawrence Gordon Lloyd Levin Mike Richardson Philip Westgren Carl Hampe Matt O'Toole Les Weldon Yariv Lerner,Andrew Cosby,Hellboyby Mike Mignola,David Harbour Milla Jovovich Ian McShane Sasha Lane Daniel Dae Kim Thomas Haden Church,Benjamin Wallfisch,Lorenzo Senatore,Martin Bernfeld,,LionsgateMillennium Media,2019-04-12,121,USA,English,50000000.0,44700000.0,,Lawrence Gordon/Lloyd Levin Productions Millennium Films Summit Entertainment Dark Horse Entertainment Nu Boyana Campbell Grobman Films,,
Little,Tina Gordon,Will Packer Kenya Barris James Lopez,Tracy OliverTina Gordon,,Regina Hall Issa Rae Marsai Martin,Germaine Franco,Greg Gardiner,David Moritz,Legendary Pictures Will Packer Productions Perfect World Pictures,Universal Pictures,2019-04-12,109,USA,English,20000000.0,49000000.0,Tracy Oliver,,,
Missing Link,Chris Butler,Arianne Sutner Travis Knight,Chris Butler,,Hugh Jackman Zoe Saldana Zach Galifianakis,Carter Burwell,Chris Peterson,Stephen Perkins,Annapurna Pictures Laika,United Artists Releasing(U.S.) AGC International(International),2019-04-12,93,USA,English,102300000.0,26200000.0,,,,
After,Jenny Gage,Jennifer Gibgot Courtney Solomon Mark Canton Aron Levitz Anna Todd Meadow Williams Dennis Pelino,Susan McMartin Tamara Chestna Jenny Gage,Afterby Anna Todd,Josephine Langford Hero Fiennes Tiffin Selma Blair Inanna Sarkis Shane Paul McGhie Pia Mia Khadijha Red Thunder Dylan Arnold Samuel Larsen Jennifer Beals Peter Gallagher,Justin Burnett,Adam Silver Tom Betterton,Michelle Harrison,,Aviron Pictures,2019-04-12,106,USA,English,14000000.0,69700000.0,,Voltage Pictures CalMaple Media Diamond Film Productions Offspring Entertainment Frayed Pages Entertainment Wattpad,,
Breakthrough,Roxann Dawson,DeVon Franklin,,The Impossibleby Joyce SmithGinger Kolbaba,Chrissy Metz Josh Lucas Topher Grace Mike Colter Marcel Ruiz Sam Trammell Dennis Haysbert,Marcelo Zarvos,Zoran Popovic,Maysie Hoy,,20th Century Fox,2019-04-17,116,USA,English,14000000.0,50400000.0,,Fox 2000 Pictures Franklin Entertainment,Grant Nieporte,
The Curse of La Llorona,Michael Chaves,James Wan Gary Dauberman Emile Gladstone,,,Linda Cardellini Raymond Cruz Patricia Velásquez,Joseph Bishara,Michael Burgess,Peter Gvozdas,New Line Cinema Atomic Monster Productions Emile Gladstone Productions,Warner Bros. Pictures,2019-04-19,93,USA,English Spanish,9000000.0,123100000.0,,,Mikki Daughtry Tobias Iaconis,
Avengers: Endgame,Anthony RussoJoe Russo,Kevin Feige,Christopher MarkusStephen McFeely,The Avengersby Stan LeeJack Kirby,Robert Downey Jr. Chris Evans Mark Ruffalo Chris Hemsworth Scarlett Johansson Jeremy Renner Don Cheadle Paul Rudd Brie Larson Karen Gillan Danai Gurira Benedict Wong Jon Favreau Bradley Cooper Gwyneth Paltrow Josh Brolin,Alan Silvestri,Trent Opaloch,Jeffrey Ford Matthew Schmidt,Marvel Studios,Walt Disney StudiosMotion Pictures,2019-04-26,181,USA,English,356000000.0,2798000000.0,,,,
Long Shot,Jonathan Levine,Seth Rogen Charlize Theron A.J. Dix Beth Kono Evan Goldberg James Weaver,Dan Sterling Liz Hannah,,Seth Rogen Charlize Theron O'Shea Jackson Jr. Andy Serkis June Diane Raphael Bob Odenkirk Alexander Skarsgård,Marco BeltramiMiles Hankins,Yves Bélanger,Melissa BrethertonEvan Henke,Summit Entertainment Good Universe Point Grey Pictures Denver + Delilah Productions,Lionsgate,2019-05-03,124,USA,English,40000000.0,53900000.0,Dan Sterling,,,
The Intruder,Deon Taylor,Deon Taylor Roxanne Avent Mark Burg Brad Kaplan Jonathan Schwartz,,,Michael Ealy Meagan Good Joseph Sikora Dennis Quaid,Geoff Zanelli,Daniel Pearl,Melissa Kent,,Sony Pictures Releasing,2019-05-03,102,USA,English,8000000.0,40600000.0,,Screen Gems Hidden Empire Film Group Primary Wave Entertainment,David Loughery,
