title,directed_by,produced_by,screenplay_by,based_on,starring,music_by,cinematography,edited_by,productioncompany,distributed_by,release_date,running_time,country,language,budget,box_office,story_by,productioncompanies,written_by,narrated_by
Downton Abbey,Michael Engler,Julian Fellowes Gareth Neame Liz Trubridge,Julian Fellowes,Downton Abbeyby Julian Fellowes,Hugh Bonneville Jim Carter Michelle Dockery Elizabeth McGovern Maggie Smith Imelda Staunton Penelope Wilton,John Lunn,Ben Smithard,Mark Day,Perfect World Pictures Focus Features Carnival Films,Universal Pictures (International)Focus Features (United States),2019-09-20,122,"UK, States",English,20000000.0,194300000.0,,,,
Rambo: Last Blood,Adrian Grünberg,Avi Lerner Kevin King Templeton Yariv Lerner Les Weldon,Matthew Cirulnick Sylvester Stallone,John Ramboby David Morrell,Sylvester Stallone Paz Vega Sergio Peris-Mencheta Adriana Barraza Yvette Monreal Genie Kim Joaquín Cosío Oscar Jaenada,Brian Tyler,Brendan Galvin,Todd E. Miller Carsten Kurpanek,,Lionsgate,2019-09-20,89,USA,English,50000000.0,91500000.0,Dan Gordon Sylvester Stallone,Millennium Media Balboa Productions Templeton Media,,
Abominable,Jill Culton,Suzanne BuirgyPeilin Chou,,,Chloe Bennet Albert Tsai Tenzing Norgay Trainor Eddie Izzard Sarah Paulson Tsai Chin Michelle Wong,Rupert Gregson-Williams,Robert Edward Crawford,Susan Fitzer,,Universal Pictures (Worldwide) Pearl Studio (China),2019-09-27,97,"USA, China",English,75000000.0,189700000.0,,DreamWorks Animation Pearl Studio,Jill Culton,
Judy,Rupert Goold,David Livingstone,Tom Edge,End of the Rainbowby Peter Quilter,Renée Zellweger Finn Wittrock Jessie Buckley Rufus Sewell Michael Gambon,Gabriel Yared,Ole Bratt Birkeland,Melanie Ann Oliver,Pathé BBC Films Calamity Films BFI,LD Entertainment & Roadside Attractions (United States) 20th Century Fox (United Kingdom),2019-10-02,118,"UK, States",English,10000000.0,43700000.0,,,,
Joker,Todd Phillips,Todd Phillips Bradley Cooper Emma Tillinger Koskoff,,Charactersby DC Comics,Joaquin Phoenix Robert De Niro Zazie Beetz Frances Conroy,Hildur Guðnadóttir,Lawrence Sher,Jeff Groth,,Warner Bros. Pictures,2019-10-04,122,USA,English,70000000.0,1074000000.0,,Warner Bros. Pictures DC Films Joint Effort Bron Creative Village Roadshow Pictures,Todd Phillips Scott Silver,
Lucy in the Sky,Noah Hawley,Reese Witherspoon Bruna Papandrea Noah Hawley John Cameron Michael Jackson,Brian C. Brown Elliott DiGuiseppi Noah Hawley,,Natalie Portman Jon Hamm Zazie Beetz Dan Stevens Colman Domingo Ellen Burstyn,Jeff Russo,Polly Morgan,Regis Kimble,Pacific Standard 26 Keys Productions TSG Entertainment,Fox Searchlight Pictures,2019-10-04,124,USA,English,21400000.0,325950.0,Brian C. Brown Elliott DiGuiseppi,,,
Gemini Man,Ang Lee,Jerry Bruckheimer David Ellison Dana Goldberg Don Granger,David Benioff Billy Ray Darren Lemke,,Will Smith Mary Elizabeth Winstead Clive Owen Benedict Wong,Lorne Balfe,Dion Beebe,Tim Squyres,Skydance Media Jerry Bruckheimer Films Fosun Pictures Alibaba Pictures,Paramount Pictures,2019-10-11,117,USA,English,138000000.0,173500000.0,Darren Lemke David Benioff,,,
The Addams Family,Conrad Vernon Greg Tiernan,Gail Berman Conrad Vernon Alex Schwartz Alison O'Brien,Matt Lieberman Pamela Pettler (draft),The Addams Family by Charles Addams,Oscar Isaac Charlize Theron Chloë Grace Moretz Finn Wolfhard Nick Kroll Snoop Dogg Bette Midler Allison Janney,Mychael Danna Jeff Danna,,David Ian Salter,Metro-Goldwyn-Mayer Pictures Bron Creative The Jackal Group Cinesite Studios,United Artists Releasing (United States and Canada) Universal Pictures (International),2019-10-11,87,"USA, Canada",English,24000000.0,204000000.0,Matt Lieberman Erica Rivinoja Conrad Vernon,,,
The King,David Michôd,Brad Pitt Dede Gardner Jeremy Kleiner Liz Watts David Michôd Joel Edgerton,,"Henry IV, Part 1, Henry IV, Part 2 and Henry Vby William Shakespeare",Timothée Chalamet Joel Edgerton Robert Pattinson Lily-Rose Depp Sean Harris Ben Mendelsohn,Nicholas Britell,Adam Arkapaw,Peter Sciberras,,Netflix,2019-10-11,140,"Australia, USA",English,23000000.0,10000.0,,Plan B Entertainment Netflix Blue-Tongue Films Porchlight Films,David Michôd Joel Edgerton,
Jexi,Jon Lucas Scott Moore,Suzanne Todd,,,Adam DeVine Alexandra Shipp Michael Peña Rose Byrne,Christopher Lennertz Philip White,Ben Kutchins,James Thomas,,Lionsgate,2019-10-11,84,"Canada, USA",English,13600000.0,9300000.0,,CBS Films eOne,Jon Lucas Scott Moore Patrick Doran,
El Camino: A Breaking Bad Movie,Vince Gilligan,Mark Johnson Melissa Bernstein Charles Newirth Vince Gilligan Aaron Paul Diane Mercer,,Breaking Badby Vince Gilligan,Aaron Paul,Dave Porter,Marshall Adams,Skip MacDonald,Sony Pictures TelevisionGran Vía ProductionsHigh Bridge Productions,Netflix,2019-10-11,122,USA,English,6000000.0,40000.0,,,Vince Gilligan,
Maleficent: Mistress of Evil,Joachim Rønning,Joe Roth Angelina Jolie Duncan Henderson,,Characters from: Disney's Sleeping Beauty La Belle au bois dormantby Charles Perrault,Angelina Jolie Elle Fanning Chiwetel Ejiofor Sam Riley Ed Skrein Imelda Staunton Juno Temple Lesley Manville Michelle Pfeiffer,Geoff Zanelli,Henry Braham,Laura Jennings Craig Wood,Walt Disney Pictures Roth/Kirschenbaum Films,Walt Disney StudiosMotion Pictures,2019-10-18,119,USA,English,185000000.0,491700000.0,,,Linda Woolverton Noah Harpster Micah Fitzerman-Blue,
Zombieland: Double Tap,Ruben Fleischer,Gavin Polone,,,Woody Harrelson Jesse Eisenberg Abigail Breslin Emma Stone Rosario Dawson Zoey Deutch Luke Wilson,David Sardy,Chung Chung-hoon,Dirk Westervelt,,Sony Pictures Releasing,2019-10-18,99,USA,English,48000000.0,122800000.0,,Columbia Pictures 2.0 Entertainment Pariah,Rhett Reese Paul Wernick David Callaham,
Jojo Rabbit,Taika Waititi,Carthew Neal Taika Waititi Chelsea Winstanley,Taika Waititi,Caging Skiesby Christine Leunens,Roman Griffin Davis Thomasin McKenzie Taika Waititi Rebel Wilson Stephen Merchant Alfie Allen Sam Rockwell Scarlett Johansson,Michael Giacchino,Mihai Mălaimare Jr.,Tom Eagles,Fox Searchlight Pictures TSG Entertainment Defender Films Piki Films,Fox Searchlight Pictures,2019-10-18,108,"United, States, New-Zealand, Czech, Republic",English,14000000.0,90300000.0,,,,
The Lighthouse,Robert Eggers,Rodrigo Teixeira Jay Van Hoy Robert Eggers Lourenço Sant' Anna Youree Henley,,,Willem Dafoe Robert Pattinson,Mark Korven,Jarin Blaschke,Louise Ford,A24 Regency Enterprises RT Features,A24 (United States) VVS Films (Canada) Focus Features/Universal Pictures (International),2019-10-18,109,"USA, Canada",English,4000000.0,18200000.0,,,Robert Eggers Max Eggers,
Black and Blue,Deon Taylor,Sean Sorensen,,,Naomie Harris Tyrese Gibson Frank Grillo Mike Colter Reid Scott,Geoff Zanelli,Dante Spinotti,Peck Prior,,Sony Pictures Releasing,2019-10-25,108,USA,English,12000000.0,22700000.0,,Screen Gems Royal Viking Entertainment Hidden Empire Film Group,Peter A. Dowling,
The Current War,Alfonso Gomez-Rejon,Timur Bekmambetov Basil Iwanyk Steven Zaillian,,,Benedict Cumberbatch Michael Shannon Nicholas Hoult Katherine Waterston Tom Holland Tuppence Middleton Matthew Macfadyen,Volker Bertelmann & Dustin O'Halloran (2017) Danny Bensi & Saunder Jurriaans (2019),Chung-hoon Chung,David Trachtenberg Justin Krohn,Bazelevs Company Film Rites Thunder Road Pictures,101 Studios(United States) Lantern Entertainment(International),2019-10-25,107,USA,English,30000000.0,12300000.0,,,Michael Mitnick,
Countdown,Justin Dec,John Rickard Zack Schiller Sean Anders John Morris,,,Elizabeth Lail Jordan Calloway Talitha Bateman Tichina Arnold P.J. Byrne Peter Facinelli Anne Winters Tom Segura,Danny Bensi Saunder Jurriaans,Maxime Alexandre,,Boies / Schiller Film Group Two Grown Men Wrigley Pictures,STX Entertainment,2019-10-25,90,USA,English,6500000.0,48000000.0,,,Justin Dec,
Terminator: Dark Fate,Tim Miller,James Cameron David Ellison,David Goyer Justin Rhodes Billy Ray,,Linda Hamilton Arnold Schwarzenegger Mackenzie Davis Natalia Reyes Gabriel Luna Diego Boneta,Tom Holkenborg,Ken Seng,Julian Clarke,Paramount Pictures Skydance Media 20th Century Fox Tencent Pictures TSG Entertainment Lightstorm Entertainment,Paramount Pictures (North America) Tencent Pictures (China) 20th Century Fox (International),2019-11-01,128,USA,English,196000000.0,261100000.00000003,James Cameron Charles Eglee Josh Friedman David Goyer Justin Rhodes,,,
Motherless Brooklyn,Edward Norton,Edward Norton Bill Migliore Gigi Pritzker Rachel Shane Michael Bederman,,Motherless Brooklynby Jonathan Lethem,Edward Norton Bruce Willis Gugu Mbatha-Raw Bobby Cannavale Cherry Jones Alec Baldwin Willem Dafoe,Daniel Pemberton,Dick Pope,Joe Klotz,Class 5 Films MWM Studios,Warner Bros. Pictures,2019-11-01,144,USA,English,26000000.0,18500000.0,,,Edward Norton,
The Irishman,Martin Scorsese,Martin Scorsese Robert De Niro Jane Rosenthal Emma Tillinger Koskoff Irwin Winkler Gerald Chamales Gastón Pavlovich Randall Emmett Gabriele Israilovici,Steven Zaillian,I Heard You Paint Housesby Charles Brandt,Robert De Niro Al Pacino Joe Pesci Ray Romano Bobby Cannavale Anna Paquin Stephen Graham Harvey Keitel,Robbie Robertson,Rodrigo Prieto,Thelma Schoonmaker,,Netflix,2019-11-01,209,USA,English,250000000.0,8000000.0,,TriBeCa Productions Sikelia Productions Winkler Films,,
Harriet,Kasi Lemmons,Debra Martin Chase Daniela Taplin Lundberg Gregory Allen Howard,Gregory Allen Howard Kasi Lemmons,,Cynthia Erivo Leslie Odom Jr. Joe Alwyn Janelle Monáe,Terence Blanchard,John Toll,Wyatt Smith,,Focus Features,2019-11-01,125,USA,English,17000000.0,43300000.0,Gregory Allen Howard,Perfect World Pictures New Balloon Stay Gold Features,,
Arctic Dogs,Aaron Woodley,Monika Bacardi Andrea Iervolino Joonbum Heo Youngki Lee Jae Y. Moh Jae Woo Park,,,Jeremy Renner Heidi Klum James Franco John Cleese Omar Sy Michael Madsen Laurie Holden Anjelica Huston Alec Baldwin,David Buckley,,Lesley Mackay Hunter,AMBI Media Group AIC Studios Assemblage Entertainment,Entertainment Studios Motion Pictures,2019-11-01,93,"USA, Canada, India",English,50000000.0,9900000.0,,,Matt Lyon Bob Barlen Cal Brunker Aaron Woodley Bryan Thompson,
Marriage Story,Noah Baumbach,David Heyman Noah Baumbach,,,Scarlett Johansson Adam Driver Laura Dern Alan Alda Ray Liotta Julie Hagerty Merritt Wever,Randy Newman,Robbie Ryan,Jennifer Lame,,Netflix,2019-11-15,137,"States, UK",English,18000000.0,2300000.0,,Heyday Films,Noah Baumbach,
Doctor Sleep,Mike Flanagan,Trevor Macy Jon Berg,Mike Flanagan,Doctor Sleepby Stephen King,Ewan McGregor Rebecca Ferguson Kyliegh Curran Cliff Curtis,The Newton Brothers,Michael Fimognari,Mike Flanagan,,Warner Bros. Pictures,2019-11-08,152,USA,English,55000000.0,72300000.0,,Intrepid Pictures Vertigo Entertainment,,
Last Christmas,Paul Feig,Paul Feig Jessie Henderson David Livingstone Emma Thompson,Emma Thompson Bryony Kimmings,"""Last Christmas""by George Michael",Emilia Clarke Henry Golding Michelle Yeoh Emma Thompson,Theodore Shapiro (scores)George MichaelWham! (songs),John Schwartzman,Brent White,Feigco Entertainment Perfect World Pictures Calamity Films,Universal Pictures,2019-11-15,103,"UK, States",English,30000000.0,121600000.0,Emma Thompson Greg Wise,,,
Playing with Fire,Andy Fickman,Todd GarnerSean Robins,Dan EwenMatt Lieberman,,John CenaJohn LeguizamoKeegan-Michael KeyBrianna HildebrandDennis HaysbertJudy Greer,Nathan Wang,Dean Semler,Elísabet Ronaldsdóttir,Paramount PlayersNickelodeon MoviesWalden MediaBroken Road Productions,Paramount Pictures,2019-11-08,96,USA,English,29900000.0,68600000.0,Dan Ewen,,,
Midway,Roland Emmerich,Roland Emmerich Harald Kloser,,,Ed Skrein Patrick Wilson Luke Evans Aaron Eckhart Nick Jonas Etsushi Toyokawa Tadanobu Asano Luke Kleintank Jun Kunimura Darren Criss Keean Johnson Mandy Moore Dennis Quaid Woody Harrelson,Thomas Wander Harald Kloser,Robby Baumgartner,Adam Wolfe,Summit Entertainment Centropolis Entertainment RuYi Media Starlight Culture Entertainment Group Street Entertainment AGC Studios Entertainment One,Lionsgate,2019-11-08,138,USA,EnglishJapanese,100000000.0,125600000.0,,,Wes Tooke,
Honey Boy,Alma Har'el,Anita Gou Alma Har'el Brian Kavanaugh-Jones Christopher Legget Daniela Taplin Lundberg,,,Shia LaBeouf Lucas Hedges Noah Jupe FKA Twigs,Alex Somers,Natasha Braier,Dominic LaPerriere Monica Salazar,,Amazon Studios,2019-11-08,94,USA,English,3500000.0,3400000.0,,Automatik Stay Gold Features Delirio Films,Shia LaBeouf,
Ford v Ferrari,James Mangold,Peter Chernin Jenno Topping James Mangold,,,Matt Damon Christian Bale,Marco Beltrami Buck Sanders,Phedon Papamichael,Michael McCusker Andrew Buckland,,20th Century Fox,2019-11-15,152,USA,English,97600000.0,225500000.0,,Chernin Entertainment TSG Entertainment Turnpike Films,Jez Butterworth John-Henry Butterworth Jason Keller,
Charlie's Angels,Elizabeth Banks,Doug Belgrad Elizabeth Cantillon Max Handelman Elizabeth Banks,Elizabeth Banks,Charlie's Angelsby Ivan GoffBen Roberts,Kristen Stewart Naomi Scott Ella Balinska Elizabeth Banks Djimon Hounsou Sam Claflin Noah Centineo Nat Faxon Patrick Stewart,Brian Tyler,Bill Pope,Alan Baumgarten,,Sony Pictures Releasing,2019-11-15,119,USA,English,55000000.0,73300000.0,Evan Spiliotopoulos David Auburn,Columbia Pictures Perfect World Pictures 2.0 Entertainment Brownstone Productions Cantillon Company,,
The Good Liar,Bill Condon,Bill Condon Greg Yolen,Jeffrey Hatcher,The Good Liarby Nicholas Searle,Helen Mirren Ian McKellen Russell Tovey Jim Carter,Carter Burwell,Tobias A. Schliessler,Virginia Katz,New Line Cinema Bron Creative 1000 Eyes,Warner Bros. Pictures,2019-11-15,109,"UK, States",English,10000000.0,33900000.0,,,,
The Report,Scott Z. Burns,Scott Z. Burns Jennifer Fox Danny Gabai Eddy Moretti Kerry Orent Steven Soderbergh Michael Sugar,,,Adam Driver Annette Bening Ted Levine Michael C. Hall Tim Blake Nelson Corey Stoll Maura Tierney Jon Hamm,David Wingo,Eigil Bryld,Greg O'Bryant,VICE Studios Unbranded Pictures Margin of Error Topic Studios,Amazon Studios,2019-11-15,119,USA,English,8000000.0,517788.0,,,Scott Z. Burns,
Frozen II,Chris Buck Jennifer Lee,Peter Del Vecho,Jennifer Lee,,Kristen Bell Idina Menzel Josh Gad Jonathan Groff,Christophe Beck (score) Robert Lopez (songs) Kristen Anderson-Lopez (songs),Tracy Scott Beattie (layout) Mohit Kallianpur (lighting),Jeff Draheim,Walt Disney Pictures Walt Disney Animation Studios,Walt Disney StudiosMotion Pictures,2019-11-22,103,USA,English,150000000.0,1450000000.0,Chris Buck Jennifer Lee Marc E. Smith Kristen Anderson-Lopez Robert Lopez,,,
A Beautiful Day in the Neighborhood,Marielle Heller,Youree Henley Peter Saraf Marc Turtletaub Leah Holzer,,"""Can You Say ... Hero?""by Tom Junod",Tom Hanks Matthew Rhys Susan Kelechi Watson Chris Cooper,Nate Heller,Jody Lee Lipes,Anne McCabe,TriStar Pictures Tencent Pictures Big Beach Mr. Youree Productions,Sony Pictures Releasing,2019-11-22,109,USA,English,25000000.0,68300000.0,,,Micah Fitzerman-Blue Noah Harpster,
21 Bridges,Brian Kirk,Anthony RussoJoe Russo Mike Larocca Robert Simonds Gigi Pritzker Chadwick Boseman Logan Coles,Adam Mervis Matthew Michael Carnahan,,Chadwick Boseman Sienna Miller J. K. Simmons Stephan James Taylor Kitsch,Henry Jackman Alex Belcher,Paul Cameron,Tim Murrell,MWM Studios H. Brothers AGBO X-Ception Content,STXfilms,2019-11-22,100,USA,English,33000000.0,49900000.0,Adam Mervis,,,
Knives Out,Rian Johnson,Ram Bergman Rian Johnson,,,Daniel Craig Chris Evans Ana de Armas Jamie Lee Curtis Michael Shannon Don Johnson Toni Collette Lakeith Stanfield Katherine Langford Jaeden Martell Christopher Plummer,Nathan Johnson,Steve Yedlin,Bob Ducsay,,Lionsgate,2019-11-27,130,USA,English,40000000.0,311400000.0,,MRC T-Street,Rian Johnson,
Queen & Slim,Melina Matsoukas,Lena Waithe Melina Matsoukas Michelle Knudsen Andrew Coles Brad Weston Pamela Abdy,Lena Waithe,,Daniel Kaluuya Jodie Turner-Smith Bokeem Woodbine Chloë Sevigny Flea Sturgill Simpson Indya Moore,Devonté Hynes,Tat Radcliffe,Pete Beaudreau,,Universal Pictures,2019-11-27,132,USA,English,20000000.0,47900000.0,James Frey Lena Waithe,3BlackDot Bron Creative Makeready De La Revolución Films Hillman Grad Productions,,
Playmobil: The Movie,Lino DiSalvo,Aton Soumache Dimitri Rassam Moritz Borman Alexis Vonarb,Blaise Hemingway Greg Erb Jason Oremland,Playmobil,Anya Taylor-Joy Jim Gaffigan Gabriel Bateman Adam Lambert Meghan Trainor Daniel Radcliffe,Heitor Pereira,,Maurissa Horwitz,Method AnimationON Animation StudiosDMG Entertainment,Pathé Distribution,2019-08-07,99,France,English,72000000.0,16300000.0,Lino DiSalvo,,,
The Aeronauts,Tom Harper,Todd Lieberman David Hoberman Tom Harper,Jack Thorne,Falling Upwards: How We Took to the Airby Richard Holmes,Eddie Redmayne Felicity Jones Himesh Patel Tom Courtenay,Steven Price,George Steel,Mark Eckersley,Mandeville Films FilmNation Entertainment,Entertainment One (United Kingdom) Amazon Studios (United States),2019-12-06,100,"UK, States",English,40000000.0,3800000.0,Tom Harper Jack Thorne,,,
Jumanji: The Next Level,Jake Kasdan,Dwayne Johnson Dany Garcia Hiram Garcia Matt Tolmach William Teitler Jake Kasdan,,Jumanjiby Chris Van Allsburg,Dwayne Johnson Jack Black Kevin Hart Karen Gillan Nick Jonas Awkwafina Danny Glover Danny DeVito,Henry Jackman,Gyula Pados,Mark Helfrich Steve Edwards Tara Timpone,,Sony Pictures Releasing,2019-12-13,123,USA,English,132000000.0,800100000.0,,Columbia Pictures Seven Bucks Productions Matt Tolmach Productions,Jake Kasdan Jeff Pinkner Scott Rosenberg,
Richard Jewell,Clint Eastwood,Tim Moore Jessica Meier Kevin Misher Leonardo DiCaprio Jennifer Davisson Jonah Hill Clint Eastwood,,"""American Nightmare: The Ballad of Richard Jewell""by Marie Brenner The Suspect: An Olympic Bombing, the FBI, the Media, and Richard Jewell, the Man Caught in the Middleby Kent Alexander and Kevin Salwen",Sam Rockwell Kathy Bates Jon Hamm Olivia Wilde Paul Walter Hauser,Arturo Sandoval,Yves Bélanger,Joel Cox,Malpaso Productions Appian Way Productions Misher Films 75 Year Plan Productions,Warner Bros. Pictures,2019-12-13,129,USA,English,45000000.0,43700000.0,,,Billy Ray,
Black Christmas,Sophia Takal,Jason Blum Ben Cosgrove Adam Hendricks,Sophia Takal April Wolfe,Black Christmasby A. Roy Moore,Imogen Poots Lily Donoghue Aleyse Shannon Brittany O'Grady Caleb Eberhardt Cary Elwes,Will Blair Brooke Blair,Mark Schwartzbard,Jeff Betancourt,Blumhouse Productions Divide/Conquer,Universal Pictures,2019-12-13,92,USA,English,5000000.0,18500000.0,,,,
Bombshell,Jay Roach,Aaron L. Glibert Jay Roach Robert Graf Michelle Graham Charles Randolph Margaret Riley Charlize Theron A.J. Dix Beth Kono,,,Charlize Theron Nicole Kidman John Lithgow Kate McKinnon Connie Britton Malcolm McDowell Allison Janney Margot Robbie,Theodore Shapiro,Barry Ackroyd,Jon Poll,,Lionsgate,2019-12-13,108,USA,English,32000000.0,61400000.0,,Bron Studios Annapurna Pictures Denver + Delilah Productions Gramsci Lighthouse Management & Media Creative Wealth Media,Charles Randolph,
Uncut Gems,Josh Safdie Benny Safdie,Scott Rudin Eli Bush Sebastian Bear-McClard,,,Adam Sandler Lakeith Stanfield Julia Fox Kevin Garnett Idina Menzel Eric Bogosian,Daniel Lopatin,Darius Khondji,Ronald Bronstein Benny Safdie,A24 Elara Pictures IAC Films Sikelia Productions Scott Rudin Productions,A24 (United States) Netflix (International),2019-12-13,135,USA,English,19000000.0,50000000.0,,,Ronald Bronstein Josh Safdie Benny Safdie,
Seberg,Benedict Andrews,Marina Acton Fred Berger Kate Garwood Stephen Hopkins Brian Kavanaugh-Jones Bradley Pilz Alan Ritchson,,,Kristen Stewart Jack O'Connell Margaret Qualley Zazie Beetz Vince Vaughn Anthony Mackie,Jed Kurzel,Rachel Morrison,Pamela Martin,Automatik Bradley Pilz Productions Phreaker Films Ingenious Media,Amazon Studios (United States) Universal Pictures (United Kingdom),2020-01-10,102,"States, UK",English,8000000.0,675808.0,,,Joe Shrapnel Anna Waterhouse,
A Hidden Life,Terrence Malick,Elisabeth Bentley Dario Bergesio Grant Hill Josh Jeter,,,August Diehl Valerie Pachner Matthias Schoenaerts,James Newton Howard,Jörg Widmer,Rehman Nizar Ali Joe Gleason Sebastian Jones,Elizabeth Bay Productions Aceway Studio Babelsberg,Fox Searchlight Pictures,2019-12-13,174,"USA, Germany",English German,9000000.0,4600000.0,,,Terrence Malick,
Star Wars: The Rise of Skywalker,J. J. Abrams,Kathleen Kennedy J. J. Abrams Michelle Rejwan,Chris Terrio J. J. Abrams,Charactersby George Lucas,Carrie Fisher Mark Hamill Adam Driver Daisy Ridley John Boyega Oscar Isaac Anthony Daniels Naomi Ackie Domhnall Gleeson Richard E. Grant Lupita Nyong'o Keri Russell Joonas Suotamo Kelly Marie Tran Ian McDiarmid Billy Dee Williams,John Williams,Dan Mindel,Maryann Brandon Stefan Grube,Lucasfilm Ltd. Bad Robot Productions,Walt Disney StudiosMotion Pictures,2019-12-20,142,USA,English,275000000.0,1074000000.0,Derek Connolly Colin Trevorrow J. J. Abrams Chris Terrio,,,
Cats,Tom Hooper,Debra Hayward Tim Bevan Eric Fellner Tom Hooper,Lee Hall Tom Hooper,Catsby Andrew Lloyd Webber Old Possum's Book of Practical Catsby T. S. Eliot,James Corden Judi Dench Jason Derulo Idris Elba Jennifer Hudson Ian McKellen Taylor Swift Rebel Wilson Francesca Hayward,Andrew Lloyd Webber,Christopher Ross,Melanie Ann Oliver,Working Title Films Amblin Entertainment Perfect World Pictures Monumental Pictures The Really Useful Group,Universal Pictures,2019-12-20,110,"UK, States",English,100000000.0,75500000.0,,,,
Spies in Disguise,Troy Quane Nick Bruno,Peter Chernin Jenno Topping Michael J. Travers,Brad Copeland Lloyd Taylor,Pigeon: Impossibleby Lucas Martell,Will Smith Tom Holland Rashida Jones Ben Mendelsohn Reba McEntire Rachel Brosnahan Karen Gillan DJ Khaled Masi Oka,Theodore Shapiro,,Randy Trager Christopher Campbell,,20th Century Fox,2019-12-25,102,USA,English,100000000.0,171600000.0,Cindy Davis,Blue Sky Studios 20th Century Fox Animation Chernin Entertainment,,
Little Women,Greta Gerwig,Amy Pascal Denise Di Novi Robin Swicord,Greta Gerwig,Little Womenby Louisa May Alcott,Saoirse Ronan Emma Watson Florence Pugh Eliza Scanlen Laura Dern Timothée Chalamet Meryl Streep Tracy Letts Bob Odenkirk James Norton Louis Garrel Chris Cooper,Alexandre Desplat,Yorick Le Saux,Nick Houy,Columbia Pictures Regency Enterprises Pascal Pictures,Sony Pictures Releasing,2019-12-25,135,USA,English,40000000.0,216900000.0,,,,
1917,Sam Mendes,Sam Mendes Pippa Harris Jayne-Ann Tenggren Callum McDougall Brian Oliver,,,George MacKay Dean-Charles Chapman Mark Strong Andrew Scott Richard Madden Claire Duburcq Colin Firth Benedict Cumberbatch,Thomas Newman,Roger Deakins,Lee Smith,DreamWorks Pictures Reliance Entertainment New Republic Pictures Alibaba Pictures Mogambo Neal Street Productions Amblin Partners,Entertainment One (United Kingdom) Universal Pictures (United States),2020-01-10,119,"UK, States",EnglishGermanFrench,100000000.0,384900000.0,,,Sam Mendes Krysty Wilson-Cairns,
Just Mercy,Destin Daniel Cretton,Gil Netter,Destin Daniel Cretton Andrew Lanham,Just Mercy: A Story of Justice and Redemptionby Bryan Stevenson,Michael B. Jordan Jamie Foxx Rob Morgan Tim Blake Nelson Rafe Spall Brie Larson,Joel P. West,Brett Pawlak,Nat Sanders,Endeavor Content One Community Participant Media Macro Media Gil Netter Productions Outlier Society,Warner Bros. Pictures,2019-12-25,137,USA,English,25000000.0,50400000.0,,,,
